"","z_log_casos100k","z_log_obitos100k","z_logit_letal","z_pop","z_area","z_densidade","z_pibpc","z_idhm","z_idm","z_desp.saude","z_desp.educ","z_ideb5","z_ideb9","z_ideb3","z_tax.agua","z_energia100k","z_tax.hom","z_eleitas.fem","z_bolsaf","z_sus1k","z_leitos1k","z_prof1k","metrop","semiarido","z_pop.rural","aliadogov","z_votos","z_ivs.infra","z_ivs.capital","z_ivs.renda","z_emprego","z_ex.pobr","z_imuni","z_idosos","z_int.circ","z_int.resp","z_int.diab","z_int.asma"
"z_leitos1k",-0.250997376786779,-0.20840173002249,0.0302133074097626,0.0722367098973658,0.0959019684069156,0.0447319493436294,0.00429415678472747,0.209821817047718,0.114936823936239,0.409707687626496,0.00639259448038084,-0.0351586998384365,0.088073313054271,0.0508041254412833,0.0187943882609576,0.0863570694794465,-0.123890397640613,0.094664368609371,-0.090125367926944,0.190009065284683,1,0.569021119515756,-0.220832502505943,0.264075232298631,-0.0803515315472736,-0.0261563289854047,0.107833150922675,-0.340305719529574,-0.295300617043768,-0.0800159476645914,0.10365669752151,-0.138301792648105,0.070507297078962,0.197553977869884,0.499334472027037,0.387148933359893,0.286514764310684,0.313069700257401
"z_prof1k",-0.0182694304559493,-0.104133080301174,-0.110344064183935,-0.0235064635569456,-0.0696692023619662,-0.00415471991343621,0.253835329495257,0.253669132688428,0.183373163953373,0.677472751433387,0.205293042224324,0.119512383174451,0.170322692531232,-0.0429566698597135,0.0276127181642273,0.223527632840372,0.0390192515364961,0.0859039081551059,-0.162408795949557,0.403454900846742,0.569021119515756,1,-0.11645889195811,0.139211573577498,-0.0848586233479186,-0.117112056546829,0.134329526708028,-0.220539502646207,-0.266551929727175,-0.169595837331638,0.325606834929858,-0.217117859887283,0.0106281714531376,0.126098178475349,0.357266773579958,0.244955480954406,0.252370965585914,0.100620843000325
"metrop",0.106548980004129,0.320097678832352,0.267735061382495,0.284820895140116,-0.188921744880578,0.336216710160535,0.498418599071839,0.390184449631444,0.511784507935005,0.0179879993570542,-0.0559175701604445,-0.111192671091495,-0.0917659398050102,-0.0296840774579415,-0.116882934331711,0.340807588003055,0.356799659179684,-0.064574693222775,-0.293400025201096,-0.285724076242484,-0.220832502505943,-0.11645889195811,1,-0.394932069443435,-0.462677610001838,0.121338626419053,-0.00210957968141725,0.257778816972145,-0.16830499336977,-0.457684516493916,0.429750390675781,-0.457296501220952,-0.25583814533094,-0.378570572119418,-0.135548434882525,-0.243875692114454,-0.134916223929735,-0.0693500793174021
"semiarido",-0.342180401674158,-0.375699542922949,-0.0631577269370249,-0.136000592371621,0.227381117349769,-0.180648640222959,-0.288118540433442,-0.154518934733008,-0.397166449388744,0.0372831156757961,-0.0781676825936625,-0.0735768025784304,0.0013551813345819,0.0198166518019278,0.198710194017689,-0.188916206978282,-0.0982656521992797,0.0849282541818112,-0.0146025707826227,0.212907121280539,0.264075232298631,0.139211573577498,-0.394932069443435,1,0.14647335148321,-0.0422306288217077,0.0718618436146653,-0.295352620515034,-0.0557982373474565,0.207133159299433,-0.271066921778736,0.145762095621114,0.111012302814375,0.517378701344703,0.304089595997273,0.298121297096417,0.18904840881205,0.124323852397308
"z_pop.rural",-0.196247865425767,-0.32805476904776,-0.172687096309146,-0.304087300790548,0.0641906175339464,-0.325220248664715,-0.382311198798903,-0.578839537089772,-0.567923107207806,-0.160115426339721,0.191080410379154,0.014575191729211,0.0423407994516721,-0.0647290144861391,-0.022987059222818,-0.403813316541885,-0.140770714162261,0.0246999280127312,0.431417500003627,0.327942486924318,-0.0803515315472736,-0.0848586233479186,-0.462677610001838,0.14647335148321,1,-0.0291083975185915,0.00458007818866373,0.174831210319804,0.286756817171219,0.485195971876962,-0.457861586273853,0.585303521621674,0.122426202469977,0.283695230427386,-0.111504706061129,0.0388440084931631,0.0840594281077476,0.0186916081884018
"aliadogov",-0.0154998487858059,0.13550079640089,0.182520826438079,-0.0690715702677128,0.0157158253382748,-0.0352971238052671,-0.0068594063861595,0.0393617370646809,0.0181858688523182,-0.0232260029514272,-0.0353100629815496,-0.133416242706609,-0.107028925466014,-0.0386789980946467,0.0316471780827775,0.10952584333763,0.0195175123313551,-0.0562729851081836,0.000154124271491083,-0.0782977718931133,-0.0261563289854047,-0.117112056546829,0.121338626419053,-0.0422306288217077,-0.0291083975185915,1,-0.15015960292313,0.0976880523341722,-0.0634020548430067,-0.0613607642540423,0.0285845058191103,-0.0386905766555048,-0.00925408667893013,-0.0936293266474109,-0.121038013056269,-0.132780411890044,-0.136767489121731,-0.0230638255239267
"z_votos",-0.00258373494433508,-0.0818270708814076,-0.0973102810524812,-0.0357238627936586,-0.00965393370079485,-0.0164797834360869,0.0907695333218713,-0.0208906724028619,0.0166146245544093,0.102885188892708,0.0103933373097457,0.106126070168546,0.0663145422646175,-0.0842979037094328,-0.00504281600071559,0.128944292279868,-0.053006952704625,0.0854672891971783,-0.0587505010274744,0.151778792186236,0.107833150922675,0.134329526708028,-0.00210957968141725,0.0718618436146653,0.00458007818866373,-0.15015960292313,1,0.0155755327045995,0.0240232504854076,0.0835422886406064,0.109645044056658,0.0383365172591372,0.0569983852978823,0.03149691954046,0.0872542590069857,0.047071715930632,0.0178995645159125,-0.0433539977092688
"z_ivs.infra",0.152845338830258,0.127784660650288,-0.0169958627678186,0.0586578395377814,0.021681508459215,0.0524961114691872,0.00756307747788917,-0.201945629759698,0.0154755536126416,-0.242463166063672,0.0746199310298519,-0.0810366276310302,-0.0658601559893467,-0.149855989428254,-0.12304691586123,-0.0880027366775619,0.136818833824718,0.118691629734383,0.246064147683554,-0.0753957154359779,-0.340305719529574,-0.220539502646207,0.257778816972145,-0.295352620515034,0.174831210319804,0.0976880523341722,0.0155755327045995,1,0.261170533975241,0.104834997611996,-0.0697284513478146,0.226239262146213,-0.0837455802678145,-0.308774617280356,-0.298673458186422,-0.314958579997877,-0.0978998081878424,-0.0850355037725782
"z_ivs.capital",-0.108675761148403,-0.0883064602464925,0.0190423041921583,-0.294753414001335,0.0758683373482937,-0.29852057885984,-0.300659943009412,-0.748034560374777,-0.421179602256144,-0.285163987093726,0.238271451226461,0.0369315930897392,-0.0665334148854295,-0.152024623649578,0.0277110086212275,-0.336225637948155,-0.0759147918809001,0.0427379036017944,0.497951719635466,0.0258325577212824,-0.295300617043768,-0.266551929727175,-0.16830499336977,-0.0557982373474565,0.286756817171219,-0.0634020548430067,0.0240232504854076,0.261170533975241,1,0.637411665266419,-0.299451762118863,0.620163896142324,0.021856685767575,0.00363920399196422,-0.288979438751262,-0.16787655897356,-0.0646595900596889,-0.143041040030936
"z_ivs.renda",-0.302736810426168,-0.364977109264423,-0.0939864654322473,-0.342517698922882,0.196963866617689,-0.358744978396014,-0.471415307183717,-0.750743186225267,-0.617334134776247,-0.276491183239593,0.193279278050833,0.0731296700226945,0.0145854134631264,-0.0780199959144647,0.0741286831890254,-0.483455338168707,-0.279240065494285,0.0458638895664911,0.501828831399876,0.1958824632576,-0.0800159476645914,-0.169595837331638,-0.457684516493916,0.207133159299433,0.485195971876962,-0.0613607642540423,0.0835422886406064,0.104834997611996,0.637411665266419,1,-0.507191931381532,0.78642124978367,0.123059363396847,0.266826883031469,-0.118923299615745,0.0108893090713937,-0.000710009402123141,-0.081295898144618
"z_emprego",0.196945629018457,0.211652515618628,0.0290631558891467,0.288949964925801,-0.137003362710368,0.354787843948429,0.706935644495363,0.537514600488497,0.670921507140851,0.515858856830584,0.14225834043307,0.0160750286348609,0.0765534802936308,0.0767622946967207,-0.0950984607227358,0.65621246308673,0.169291012540819,-0.0815062692517446,-0.387207317509405,-0.160977649274437,0.10365669752151,0.325606834929858,0.429750390675781,-0.271066921778736,-0.457861586273853,0.0285845058191103,0.109645044056658,-0.0697284513478146,-0.299451762118863,-0.507191931381532,1,-0.499928944861316,-0.0701371096892115,-0.334650736072069,0.0941446677848125,-0.0682179624061876,-0.0599355802891381,-0.00386332088806631
"z_ex.pobr",-0.193550464432014,-0.320747082597128,-0.166254160481337,-0.265239677222276,0.190209858570715,-0.289758971422431,-0.469670347785924,-0.812513152116542,-0.622115997394674,-0.307735349411273,0.273084530692885,0.132708090118034,0.0390125239520139,-0.164409688878194,0.0414241311070434,-0.577487134315861,-0.305775569099216,0.113686982786719,0.639301732761901,0.141440492410291,-0.138301792648105,-0.217117859887283,-0.457296501220952,0.145762095621114,0.585303521621674,-0.0386905766555048,0.0383365172591372,0.226239262146213,0.620163896142324,0.78642124978367,-0.499928944861316,1,0.112156233701824,0.254617546769153,-0.226938547194616,-0.0308236610030622,-0.0379161746172215,-0.0854403292192131
"z_imuni",0.049237924779929,-0.120961363365725,-0.205960620524673,-0.0414068642778837,0.0399408243691087,-0.0669367681528977,-0.0953070152738031,-0.0574445810675917,-0.0930110868610858,0.0360349168663641,-0.0482323902499676,0.128815506026213,0.15758339761946,-0.00967559873140198,0.00416883544386071,-0.0520931514130752,0.0121243708148094,-0.085390165806903,0.0437377867355814,-0.00859416253032413,0.070507297078962,0.0106281714531376,-0.25583814533094,0.111012302814375,0.122426202469977,-0.00925408667893013,0.0569983852978823,-0.0837455802678145,0.021856685767575,0.123059363396847,-0.0701371096892115,0.112156233701824,1,0.150882603024916,0.0577925865187232,0.144784501544869,-0.02654439123552,0.109188360974738
"z_idosos",-0.373516324213621,-0.406483790457781,-0.065634204281858,-0.108250547854931,0.0823601536233367,-0.122480503648926,-0.331574953816624,-0.243806818646768,-0.428605919515492,0.0517276269070224,-0.00320308906524214,0.101914030070122,0.0183072223799118,0.0872997703948596,0.180050455185282,-0.229699801605696,-0.217806141412803,0.0460576944458498,0.0732862981367506,0.183642484489694,0.197553977869884,0.126098178475349,-0.378570572119418,0.517378701344703,0.283695230427386,-0.0936293266474109,0.03149691954046,-0.308774617280356,0.00363920399196422,0.266826883031469,-0.334650736072069,0.254617546769153,0.150882603024916,1,0.253652371741636,0.393101786922367,0.260155196146923,0.128818655921153
"z_int.circ",-0.208795034838357,-0.166523561051655,0.0374297552326838,0.0383661617805585,0.102237049530525,0.0220944221700047,0.0566017923139326,0.21340599580844,0.130184139094291,0.29258829266335,-0.0777080561923498,0.0249395860303167,0.0955171276277553,0.147439773067098,-0.0308204005123714,0.163684867262497,0.000360498508159238,-0.144862510511193,-0.198140614903467,0.150533545351103,0.499334472027037,0.357266773579958,-0.135548434882525,0.304089595997273,-0.111504706061129,-0.121038013056269,0.0872542590069857,-0.298673458186422,-0.288979438751262,-0.118923299615745,0.0941446677848125,-0.226938547194616,0.0577925865187232,0.253652371741636,1,0.574958195761135,0.55154084858476,0.493978426632447
"z_int.resp",-0.117839878188004,-0.197581968403281,-0.105545166558939,-0.0350536464874165,0.162618720665225,-0.0665606188831704,-0.0909785006954793,0.0532226451495323,0.0327856477975115,0.193692618507329,-0.0824143954071517,-0.00821023323905661,0.00549764646262806,0.164436381743716,0.0466000045231061,0.00471475337926982,-0.14645505790164,-0.148003161268089,-0.0699215105302337,0.128912664367513,0.387148933359893,0.244955480954406,-0.243875692114454,0.298121297096417,0.0388440084931631,-0.132780411890044,0.047071715930632,-0.314958579997877,-0.16787655897356,0.0108893090713937,-0.0682179624061876,-0.0308236610030622,0.144784501544869,0.393101786922367,0.574958195761135,1,0.551668532268887,0.48644458197896
"z_int.diab",-0.162774514746798,-0.184868164208497,-0.034248440312916,-0.0677087222065173,0.0795746303126782,-0.0672478109130959,-0.0689552049302827,-0.00193431707884229,-0.00510243998129199,0.100410128559142,-0.0777915143306492,-0.0909665682257025,-0.075401564483736,0.107807851431036,0.00533677608189573,-0.10149014666198,-0.0210879799196438,0.00792686152463526,-0.0617355197934253,0.228862358817903,0.286514764310684,0.252370965585914,-0.134916223929735,0.18904840881205,0.0840594281077476,-0.136767489121731,0.0178995645159125,-0.0978998081878424,-0.0646595900596889,-0.000710009402123141,-0.0599355802891381,-0.0379161746172215,-0.02654439123552,0.260155196146923,0.55154084858476,0.551668532268887,1,0.502455871139444
"z_int.asma",-0.0605273752965166,-0.0516164015202609,0.00831137219048093,0.0371138780160307,0.0157757246125583,0.023735924090757,-0.0208180023896446,0.0610310457627852,0.0272937164198647,0.0830334078250615,-0.117081495641506,-0.114107431761017,-0.0497342641216468,0.10932105661108,0.0337524806037874,0.00256732906892382,-0.0326795375555776,-0.140248992040529,-0.0310945348858002,0.0313264085568717,0.313069700257401,0.100620843000325,-0.0693500793174021,0.124323852397308,0.0186916081884018,-0.0230638255239267,-0.0433539977092688,-0.0850355037725782,-0.143041040030936,-0.081295898144618,-0.00386332088806631,-0.0854403292192131,0.109188360974738,0.128818655921153,0.493978426632447,0.48644458197896,0.502455871139444,1
